,Region,All cross breeds,All pure and cross breeds,All pure breeds,Beagle,Bichon Frise,Boxer,"Cattle, Australian","Collie, Bearded","Collie, Border",Dogo Argentino,Greyhound,Heading,Huntaway,Maltese,Other pure breeds,"Poodle, Miniature","Poodle, Toy","Retriever, Golden","Retriever, Labrador",Rottweiler,"Schnauzer, Miniature","Shepherd, German",Shih Tzu,"Spaniel, Cavalier King Charles","Spaniel, Cocker","Spaniel, English Springer","Terrier, American Pit Bull","Terrier, Fox (Smooth)","Terrier, Jack Russell","Terrier, Staffordshire Bull","Terrier, West Highland White",Chihuahua,Collie,Median_Personal_income,House_Owned_Partially,Not_Owned
1,Taranaki_Per_Capita,0.059660152,0.162088288,0.102428135,0.000492005,0.002614915,0.001430459,0.001293791,0.000820008,0.00614095,9.11E-06,0.001485126,0.006869846,0.008172748,0.001712906,0.025055806,0.000838231,0.000974899,0.002150244,0.011607672,0.003043142,0.002150244,0.003079586,0.002223133,0.001266457,0.000628673,0.00052845,0.001029566,0.004346043,0.004719603,0.004646713,0.000765341,0.002040909,0.000291558,28866.66667,0.250840508,0.118272516
2,Tasman_Per_Capita,0.100542902,0.231560419,0.131017517,0.000742249,0.002141918,0.001654154,0.00337193,0.002141918,0.014017899,0,0.00110277,0.005492641,0.010158205,0.001145184,0.033316368,0.000933113,0.00080587,0.00352038,0.012427366,0.001972261,0.002311575,0.004008144,0.001230012,0.000615006,0.001654154,0.00176019,0.000212071,0.003605208,0.008058701,0.004835221,0.001781397,0.001738983,0.004262629,25700,0.118272516,0.092378165
3,Waikato_Per_Capita,0.060561311,0.15392323,0.093361919,0.000559712,0.001286837,0.001021974,0.001754097,0.000904534,0.005004922,1.50E-05,0.001636657,0.006181816,0.008957887,0.001244359,0.022808254,0.000649665,0.000882046,0.001809068,0.011693978,0.002571176,0.001821562,0.003385756,0.0015542,0.00056221,0.000986992,0.000984493,0.000692144,0.005189827,0.003738075,0.002648636,0.000539722,0.001926508,0.00034982,27280,0.218662389,0.13015547
4,Wellington_Per_Capita,0.046555995,0.105834668,0.059278673,0.0005838,0.001292701,0.000606735,0.00053376,0.00034194,0.002883557,4.17E-06,0.000944506,0.002662547,0.003621647,0.000502485,0.016855151,0.00073392,0.000494145,0.001826461,0.00749141,0.001311466,0.001695106,0.002258056,0.001042501,0.00077979,0.000873616,0.00057963,0.000414915,0.002479067,0.002472812,0.001972411,0.0006255,0.001213471,0.000181395,29944.44444,0.230209167,0.124293185
5,West_Coast_Per_Capita,0.08408824,0.198917967,0.114829727,0.000712968,0.005368227,0.001383996,0.001216239,0.001593692,0.012917296,8.39E-05,0.000461332,0.002726053,0.007003858,0.00113236,0.029105855,0.001006543,0.000922664,0.002348599,0.015391713,0.002558296,0.000964603,0.002809931,0.001006543,0.000629089,0.001467875,0.001258178,0.000712968,0.00578762,0.005955377,0.005032713,0.000419393,0.002726053,0.000125818,25900,0.258429794,0.258429794
6,Manawatu_Whanganui_Per_Capita,0.026936958,0.102642235,0.075705278,0.000411234,0.001184264,0.000770783,0.000642694,0.000573031,0.003638186,2.25E-05,0.002397742,0.008325805,0.014213419,0.000656177,0.015132516,0.00049438,0.000458425,0.001049433,0.007739291,0.00167415,0.000826963,0.001896621,0.001213478,0.000721345,0.00042247,0.000399998,0.000804491,0.00388987,0.002667404,0.001525836,0.000462919,0.001060669,0.000429212,25085.71429,0.239392183,0.127482573
7,Marlborough_Per_Capita,0.048369265,0.120278238,0.071908974,0.000241846,0.001612309,0.000921319,0.000575825,0.001335913,0.004215036,0,0.000529759,0.006000092,0.007289939,0.00088677,0.016606781,0.000483693,0.000333978,0.001520177,0.007186291,0.000990418,0.001566243,0.001474111,0.000483693,0.000598858,0.001174682,0.000748572,0.000172747,0.003063387,0.00436475,0.001934771,0.000472176,0.000955869,0.00416897,27900,0.136539525,0.056004699
8,Nelson_Per_Capita,0.057992549,0.115791287,0.057798738,0.000581433,0.00217499,0.000969055,0.000839848,0.000581433,0.003725478,0,0.000732175,0.000430691,0.001162866,0.000839848,0.018455111,0.00071064,0.000366087,0.001830437,0.0052975,0.000904451,0.002024248,0.001141331,0.000925986,0.000775244,0.001550488,0.000581433,0.000279949,0.002067317,0.003208648,0.00312251,0.001055193,0.001227469,0.00023688,27200,0.26041734,0.120550423
9,Otago_Per_Capita,0.063658885,0.183588165,0.11992928,0.000545679,0.002160888,0.001156839,0.000562049,0.001135012,0.013849327,0,0.000742123,0.00616617,0.010045946,0.001031333,0.025193989,0.000660271,0.000654815,0.00283753,0.015098932,0.001462419,0.002291851,0.002324592,0.001615209,0.000725753,0.001860765,0.002286394,0.000300123,0.003514171,0.006062491,0.00375427,0.000905827,0.001958987,0.009025527,29150,0.246144779,0.119094392
10,Southland_Per_Capita,0.080338969,0.263032718,0.18269375,0.000771357,0.004188897,0.00156414,0.000578518,0.002185511,0.007970688,3.21E-05,0.000932056,0.017109126,0.027222472,0.001435581,0.029997215,0.000932056,0.000974909,0.002646183,0.023837072,0.00332112,0.002217651,0.004049624,0.002860449,0.000974909,0.00244263,0.002549763,0.000299972,0.006063723,0.009941934,0.004542435,0.000567804,0.003363973,0.017119839,30033.33333,0.264286173,0.115060744
11,Northland_Per_Capita,0.061631464,0.161722438,0.100090974,0.000336208,0.001799699,0.0011141,0.002577591,0.000837223,0.009506104,0,0.000474646,0.00337526,0.010903673,0.000889961,0.026283522,0.000922923,0.000863592,0.001549192,0.010705904,0.002333676,0.000817446,0.003619176,0.002755584,0.000580123,0.000889961,0.0006856,0.000296654,0.004647575,0.005708937,0.002656699,0.000501015,0.002162276,0.000296654,23133.33333,0.23364449,0.119076814
12,Auckland_Per_Capita,0.028257568,0.074937657,0.046680089,0.000471901,0.001143725,0.00063085,0.000457773,0.000192858,0.002389884,7.06E-07,0.000486737,0.000332733,0.000917665,0.000940977,0.014549115,0.000673237,0.001003144,0.001624104,0.005627495,0.001011621,0.001898909,0.002171594,0.001381089,0.000493801,0.00079757,0.000264208,0.000546784,0.001207305,0.001931405,0.001596553,0.000609657,0.001139486,0.000187206,29600,0.189990463,0.119179824
13,Bay_Of_Plenty_Per_Capita,0.072302837,0.14554946,0.073246623,0.00039816,0.001242405,0.001039639,0.001087566,0.00048664,0.00391155,1.84E-05,0.000611986,0.001791718,0.002875597,0.001459919,0.020206601,0.000733646,0.000881112,0.001824898,0.009441544,0.002580664,0.002274671,0.002728131,0.001813838,0.000619359,0.001035952,0.000770513,0.000800006,0.004280216,0.003166844,0.002506931,0.000564059,0.001754852,0.000339173,24216.66667,0.22888648,0.12507742
14,Canterbury_Per_Capita,0.059966704,0.170068684,0.11010198,0.000811835,0.003254492,0.001419817,0.000566854,0.001181989,0.009284244,3.58E-06,0.002664392,0.004084209,0.00743884,0.001031781,0.026545571,0.000831505,0.000981712,0.003342113,0.01222044,0.001725596,0.002911161,0.003653257,0.001174836,0.000861904,0.002238805,0.001609364,0.000212794,0.00305064,0.00603154,0.00332602,0.001292856,0.002367554,0.003982283,29209.09091,0.247262739,0.11407711
15,Gisbourne_Per_Capita,0.069731748,0.223260715,0.153528967,0.000366527,0.000824686,0.001191213,0.001809727,0.000343619,0.002932215,0,0.000251987,0.034659703,0.047350698,0.001099581,0.021098206,0.000481067,0.000458159,0.001099581,0.012736811,0.002244977,0.000916317,0.002703136,0.000870501,0.000962133,0.000618514,0.000435251,0.000801778,0.008109408,0.005337548,0.002153346,0.000274895,0.001053765,0.000343619,24400,0.199573912,0.137585046
16,Hawkes_Bay_Per_Capita,0.055024984,0.16749727,0.112472286,0.000926569,0.001383236,0.000939806,0.001158212,0.000675072,0.002859128,1.99E-05,0.00064198,0.01522883,0.017512161,0.000648599,0.020927231,0.000661835,0.000708164,0.001925941,0.013488203,0.00269367,0.001681062,0.003487872,0.001561931,0.000655217,0.000754492,0.000694927,0.000542705,0.00638671,0.006002846,0.002243622,0.00048314,0.001369999,0.004209272,25275,0.235699394,0.121771071